Date, Berkeley Earth 2m Air Temperature (degree C) 66.5N-90N;0E-360E
1979-01-01,    0.317
1979-02-01,   -3.967
1979-03-01,   -0.899
1979-04-01,   -1.558
1979-05-01,   -0.760
1979-06-01,   -1.356
1979-07-01,    0.134
1979-08-01,   -0.141
1979-09-01,    0.146
1979-10-01,   -0.139
1979-11-01,    0.467
1979-12-01,   -0.942
1980-01-01,    0.202
1980-02-01,    2.235
1980-03-01,    1.676
1980-04-01,   -0.548
1980-05-01,    0.253
1980-06-01,   -0.037
1980-07-01,   -0.453
1980-08-01,   -0.506
1980-09-01,   -0.578
1980-10-01,    0.447
1980-11-01,   -2.401
1980-12-01,   -0.924
1981-01-01,    2.124
1981-02-01,    1.691
1981-03-01,    0.028
1981-04-01,    0.307
1981-05-01,    0.661
1981-06-01,    0.513
1981-07-01,   -0.246
1981-08-01,   -0.418
1981-09-01,   -0.032
1981-10-01,    1.253
1981-11-01,    2.250
1981-12-01,    0.546
1982-01-01,   -0.738
1982-02-01,    0.570
1982-03-01,    0.798
1982-04-01,   -0.760
1982-05-01,   -1.206
1982-06-01,   -0.504
1982-07-01,   -0.243
1982-08-01,   -0.371
1982-09-01,   -0.341
1982-10-01,   -0.976
1982-11-01,   -1.224
1982-12-01,   -0.161
1983-01-01,    0.121
1983-02-01,    0.248
1983-03-01,    1.732
1983-04-01,   -0.417
1983-05-01,   -0.373
1983-06-01,   -0.206
1983-07-01,   -0.086
1983-08-01,   -0.061
1983-09-01,    0.103
1983-10-01,   -0.951
1983-11-01,   -0.643
1983-12-01,    0.601
1984-01-01,    2.098
1984-02-01,    0.382
1984-03-01,   -0.008
1984-04-01,   -1.571
1984-05-01,    0.050
1984-06-01,    0.541
1984-07-01,    0.257
1984-08-01,   -0.037
1984-09-01,    0.783
1984-10-01,    1.716
1984-11-01,    0.724
1984-12-01,    0.973
1985-01-01,    2.295
1985-02-01,    1.406
1985-03-01,    0.391
1985-04-01,   -2.048
1985-05-01,   -0.116
1985-06-01,    0.609
1985-07-01,    0.031
1985-08-01,   -0.180
1985-09-01,    0.847
1985-10-01,   -0.295
1985-11-01,    1.343
1985-12-01,    1.512
1986-01-01,   -1.493
1986-02-01,    1.339
1986-03-01,   -0.336
1986-04-01,   -0.675
1986-05-01,    0.674
1986-06-01,   -0.338
1986-07-01,   -0.396
1986-08-01,   -0.326
1986-09-01,   -0.460
1986-10-01,   -0.965
1986-11-01,   -0.057
1986-12-01,   -0.126
1987-01-01,    0.820
1987-02-01,   -2.487
1987-03-01,   -0.436
1987-04-01,   -0.662
1987-05-01,   -0.085
1987-06-01,    0.174
1987-07-01,    0.152
1987-08-01,    0.099
1987-09-01,   -0.602
1987-10-01,   -0.498
1987-11-01,   -1.853
1987-12-01,   -0.807
1988-01-01,   -0.002
1988-02-01,    2.478
1988-03-01,    0.337
1988-04-01,    0.274
1988-05-01,    0.979
1988-06-01,    0.254
