site_code year month day hour minute second time_decimal value value_std_dev nvalue latitude longitude altitude elevation intake_height qcflag
BRW 1986 1 1 0 0 0 1986.0 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 2 0 0 0 1986.0027397260274 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 3 0 0 0 1986.0054794520547 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 4 0 0 0 1986.0082191780823 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 5 0 0 0 1986.0109589041097 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 6 0 0 0 1986.013698630137 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 7 0 0 0 1986.0164383561644 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 8 0 0 0 1986.0191780821917 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 9 0 0 0 1986.021917808219 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 10 0 0 0 1986.0246575342467 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 11 0 0 0 1986.027397260274 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 12 0 0 0 1986.0301369863014 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 13 0 0 0 1986.0328767123287 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 14 0 0 0 1986.035616438356 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 15 0 0 0 1986.0383561643835 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 16 0 0 0 1986.041095890411 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 17 0 0 0 1986.0438356164384 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 18 0 0 0 1986.0465753424658 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 19 0 0 0 1986.0493150684931 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 20 0 0 0 1986.0520547945205 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 21 0 0 0 1986.054794520548 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 22 0 0 0 1986.0575342465754 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 23 0 0 0 1986.0602739726028 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 24 0 0 0 1986.0630136986301 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 25 0 0 0 1986.0657534246575 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 26 0 0 0 1986.0684931506848 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 27 0 0 0 1986.0712328767124 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 28 0 0 0 1986.0739726027398 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 1 29 0 0 0 1986.0767123287671 1800.23 27.03 4 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 1 30 0 0 0 1986.0794520547945 1787.83 4.12 17 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 1 31 0 0 0 1986.0821917808219 1778.05 4.06 7 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 2 1 0 0 0 1986.0849315068492 1785.16 4.16 24 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 2 2 0 0 0 1986.0876712328768 1795.48 0.0 1 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 2 3 0 0 0 1986.0904109589042 1789.51 11.9 4 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 2 4 0 0 0 1986.0931506849315 1797.11 14.45 19 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 2 5 0 0 0 1986.0958904109589 1789.4 6.21 4 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 2 6 0 0 0 1986.0986301369862 1777.28 12.65 14 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 2 7 0 0 0 1986.1013698630136 1763.56 3.33 23 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 2 8 0 0 0 1986.1041095890412 1759.33 2.53 19 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 2 9 0 0 0 1986.1068493150685 -999.99 -99.99 0 71.323 -156.611 27.46 11.0 16.46 *..
BRW 1986 2 10 0 0 0 1986.109589041096 1759.59 3.34 9 71.323 -156.611 27.46 11.0 16.46 ...
BRW 1986 2 11 0 0 0 1986.1123287671232 1766.67 2.19 3 71.323 -156.611 27.46 11.0 16.46 ...
