site_code year month day hour minute second time_decimal value value_std_dev nvalue latitude longitude altitude elevation intake_height qcflag
BRW 1973 1 1 0 0 0 1973.0 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 2 0 0 0 1973.0027397260274 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 3 0 0 0 1973.0054794520547 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 4 0 0 0 1973.0082191780823 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 5 0 0 0 1973.0109589041097 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 6 0 0 0 1973.013698630137 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 7 0 0 0 1973.0164383561644 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 8 0 0 0 1973.0191780821917 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 9 0 0 0 1973.021917808219 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 10 0 0 0 1973.0246575342467 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 11 0 0 0 1973.027397260274 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 12 0 0 0 1973.0301369863014 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 13 0 0 0 1973.0328767123287 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 14 0 0 0 1973.035616438356 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 15 0 0 0 1973.0383561643835 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 16 0 0 0 1973.041095890411 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 17 0 0 0 1973.0438356164384 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 18 0 0 0 1973.0465753424658 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 19 0 0 0 1973.0493150684931 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
BRW 1973 1 20 0 0 0 1973.0520547945205 -999.99 -99.99 0 71.323 -156.611 27.0 11.0 16.0 *..
