Date, NOAA ERSSTV5 Sea Surface/Skin Temp (K) 66.5N-90N;0E-360E
1978-01-01,  271.974
1978-02-01,  271.887
1978-03-01,  271.859
1978-04-01,  271.838
1978-05-01,  271.913
1978-06-01,  272.264
1978-07-01,  272.993
1978-08-01,  273.962
1978-09-01,  273.874
1978-10-01,  272.829
1978-11-01,  272.269
1978-12-01,  272.055
1979-01-01,  271.921
1979-02-01,  271.849
1979-03-01,  271.847
1979-04-01,  271.855
1979-05-01,  271.923
1979-06-01,  272.276
1979-07-01,  273.176
1979-08-01,  274.073
1979-09-01,  274.000
1979-10-01,  273.059
1979-11-01,  272.395
1979-12-01,  272.139
1980-01-01,  271.998
1980-02-01,  271.919
1980-03-01,  271.876
1980-04-01,  271.884
1980-05-01,  272.030
1980-06-01,  272.372
1980-07-01,  273.174
1980-08-01,  274.036
1980-09-01,  273.840
1980-10-01,  272.957
1980-11-01,  272.271
1980-12-01,  272.063
1981-01-01,  271.940
1981-02-01,  271.915
1981-03-01,  271.806
1981-04-01,  271.807
1981-05-01,  271.926
1981-06-01,  272.313
1981-07-01,  273.189
1981-08-01,  274.153
1981-09-01,  273.933
1981-10-01,  272.999
1981-11-01,  272.349
1981-12-01,  272.111
1982-01-01,  271.897
1982-02-01,  271.835
1982-03-01,  271.879
1982-04-01,  271.872
1982-05-01,  272.001
1982-06-01,  272.364
1982-07-01,  273.168
1982-08-01,  274.081
1982-09-01,  273.983
1982-10-01,  272.911
1982-11-01,  272.266
1982-12-01,  272.125
1983-01-01,  272.036
1983-02-01,  272.020
1983-03-01,  271.998
1983-04-01,  272.092
1983-05-01,  272.163
1983-06-01,  272.526
1983-07-01,  273.229
1983-08-01,  274.063
1983-09-01,  274.005
1983-10-01,  273.002
1983-11-01,  272.370
1983-12-01,  272.165
1984-01-01,  272.087
1984-02-01,  272.037
1984-03-01,  272.004
1984-04-01,  272.044
1984-05-01,  272.208
1984-06-01,  272.678
1984-07-01,  273.546
1984-08-01,  274.369
1984-09-01,  274.193
1984-10-01,  273.204
1984-11-01,  272.401
1984-12-01,  272.295
1985-01-01,  272.105
1985-02-01,  272.018
1985-03-01,  272.013
1985-04-01,  271.968
1985-05-01,  272.119
1985-06-01,  272.554
1985-07-01,  273.422
1985-08-01,  274.310
1985-09-01,  274.031
1985-10-01,  273.093
1985-11-01,  272.369
1985-12-01,  272.115
1986-01-01,  271.966
1986-02-01,  271.904
1986-03-01,  271.913
1986-04-01,  271.900
1986-05-01,  272.069
1986-06-01,  272.477
1986-07-01,  273.356
1986-08-01,  274.176
1986-09-01,  273.877
1986-10-01,  272.834
1986-11-01,  272.327
1986-12-01,  272.136
1987-01-01,  271.999
1987-02-01,  271.881
1987-03-01,  271.890
1987-04-01,  271.896
1987-05-01,  272.022
1987-06-01,  272.499
1987-07-01,  273.282
1987-08-01,  274.261
1987-09-01,  274.027
1987-10-01,  272.996
1987-11-01,  272.315
1987-12-01,  272.165
1988-01-01,  271.967
1988-02-01,  271.903
1988-03-01,  271.914
1988-04-01,  271.885
1988-05-01,  272.037
1988-06-01,  272.596
1988-07-01,  273.445
1988-08-01,  274.323
1988-09-01,  274.030
1988-10-01,  272.908
1988-11-01,  272.160
1988-12-01,  271.994
1989-01-01,  271.898
1989-02-01,  271.883
1989-03-01,  271.906
1989-04-01,  271.993
1989-05-01,  272.153
1989-06-01,  272.545
1989-07-01,  273.337
1989-08-01,  274.269
1989-09-01,  274.063
1989-10-01,  273.130
1989-11-01,  272.415
1989-12-01,  272.137
1990-01-01,  272.027
1990-02-01,  272.020
1990-03-01,  272.009
1990-04-01,  272.081
1990-05-01,  272.249
1990-06-01,  272.786
1990-07-01,  273.737
1990-08-01,  274.620
1990-09-01,  274.381
1990-10-01,  273.243
1990-11-01,  272.445
1990-12-01,  272.199
1991-01-01,  272.131
1991-02-01,  272.076
1991-03-01,  272.008
1991-04-01,  272.017
1991-05-01,  272.219
1991-06-01,  272.732
1991-07-01,  273.633
1991-08-01,  274.506
1991-09-01,  274.227
1991-10-01,  273.195
1991-11-01,  272.438
1991-12-01,  272.193
1992-01-01,  272.051
1992-02-01,  272.046
1992-03-01,  272.101
1992-04-01,  272.059
1992-05-01,  272.213
1992-06-01,  272.603
1992-07-01,  273.261
1992-08-01,  273.982
1992-09-01,  273.762
1992-10-01,  272.856
1992-11-01,  272.339
1992-12-01,  272.214
1993-01-01,  272.120
1993-02-01,  272.055
1993-03-01,  272.017
1993-04-01,  271.990
1993-05-01,  272.120
1993-06-01,  272.652
1993-07-01,  273.519
1993-08-01,  274.366
1993-09-01,  274.159
1993-10-01,  273.009
1993-11-01,  272.304
1993-12-01,  272.107
1994-01-01,  272.016
1994-02-01,  271.951
1994-03-01,  271.935
1994-04-01,  271.972
1994-05-01,  272.148
1994-06-01,  272.586
1994-07-01,  273.416
1994-08-01,  274.359
1994-09-01,  274.117
1994-10-01,  273.009
1994-11-01,  272.259
1994-12-01,  272.130
1995-01-01,  272.071
1995-02-01,  271.992
1995-03-01,  272.004
1995-04-01,  272.032
1995-05-01,  272.230
1995-06-01,  272.821
1995-07-01,  273.781
1995-08-01,  274.641
1995-09-01,  274.495
1995-10-01,  273.363
1995-11-01,  272.365
1995-12-01,  272.114
1996-01-01,  271.968
1996-02-01,  271.918
1996-03-01,  271.895
1996-04-01,  271.930
1996-05-01,  272.068
1996-06-01,  272.501
1996-07-01,  273.323
1996-08-01,  274.088
1996-09-01,  273.847
1996-10-01,  272.792
1996-11-01,  272.229
1996-12-01,  272.062
1997-01-01,  271.884
1997-02-01,  271.859
1997-03-01,  271.848
1997-04-01,  271.855
1997-05-01,  272.007
1997-06-01,  272.510
1997-07-01,  273.523
1997-08-01,  274.246
1997-09-01,  273.970
1997-10-01,  273.045
1997-11-01,  272.339
1997-12-01,  272.064
